name,rounds__name,rounds__matches__num,rounds__matches__date,rounds__matches__time,rounds__matches__team1__name,rounds__matches__team1__code,rounds__matches__team2__name,rounds__matches__team2__code,rounds__matches__score1,rounds__matches__score2,rounds__matches__score1i,rounds__matches__score2i,rounds__matches__score1et,rounds__matches__score2et,rounds__matches__score1p,rounds__matches__score2p,rounds__matches__knockout,rounds__matches__goals1__name,rounds__matches__goals1__minute,rounds__matches__goals1__offset,rounds__matches__goals1__score1,rounds__matches__goals1__score2,rounds__matches__goals1__owngoal,rounds__matches__goals1__penalty,rounds__matches__goals2__name,rounds__matches__goals2__minute,rounds__matches__goals2__offset,rounds__matches__goals2__score1,rounds__matches__goals2__score2,rounds__matches__goals2__penalty,rounds__matches__goals2__owngoal,rounds__matches__group,rounds__matches__stadium__key,rounds__matches__stadium__name,rounds__matches__city,rounds__matches__timezone
World Cup 2014,Matchday 4,,2014-06-15,13:00,Switzerland,SUI,Ecuador,ECU,,,,,,,,,,Haris Seferović,90,3,2,1,,,,,,,,,,Group E,nacionaldebrasilia,Estádio Nacional (Mané Garrincha),Brasília,UTC-3
World Cup 2014,Matchday 4,10,2014-06-15,16:00,France,FRA,Honduras,HON,3,0,null,null,,,,,,Karim Benzema,45,,1,0,,True,,,,,,,,Group E,beirario,Estádio Beira-Rio,Porto Alegre,UTC-3
World Cup 2014,Matchday 4,,2014-06-15,16:00,France,FRA,Honduras,HON,,,,,,,,,,Noel Valladares,48,,2,0,True,,,,,,,,,Group E,beirario,Estádio Beira-Rio,Porto Alegre,UTC-3
World Cup 2014,Matchday 4,,2014-06-15,16:00,France,FRA,Honduras,HON,,,,,,,,,,Karim Benzema,72,,3,0,,,,,,,,,,Group E,beirario,Estádio Beira-Rio,Porto Alegre,UTC-3
World Cup 2014,Matchday 4,11,2014-06-15,19:00,Argentina,ARG,Bosnia-Herzegovina,BIH,2,1,null,null,,,,,,Sead Kolašinac,3,,1,0,True,,Vedad Ibišević,85,,2,1,,,Group F,maracana,Estádio do Maracanã,Rio de Janeiro,UTC-3
World Cup 2014,Matchday 4,,2014-06-15,19:00,Argentina,ARG,Bosnia-Herzegovina,BIH,,,,,,,,,,Lionel Messi,65,,2,0,,,,,,,,,,Group F,maracana,Estádio do Maracanã,Rio de Janeiro,UTC-3
World Cup 2014,Matchday 5,12,2014-06-16,16:00,Iran,IRN,Nigeria,NGA,0,0,null,null,,,,,,,,,,,,,,,,,,,,Group F,dabaixada,Arena da Baixada,Curitiba,UTC-3
World Cup 2014,Matchday 5,13,2014-06-16,13:00,Germany,GER,Portugal,POR,4,0,null,null,,,,,,Thomas Müller,12,,1,0,,True,,,,,,,,Group G,fontenova,Arena Fonte Nova,Salvador,UTC-3
World Cup 2014,Matchday 5,,2014-06-16,13:00,Germany,GER,Portugal,POR,,,,,,,,,,Mats Hummels,32,,2,0,,,,,,,,,,Group G,fontenova,Arena Fonte Nova,Salvador,UTC-3
World Cup 2014,Matchday 5,,2014-06-16,13:00,Germany,GER,Portugal,POR,,,,,,,,,,Thomas Müller,45,1,3,0,,,,,,,,,,Group G,fontenova,Arena Fonte Nova,Salvador,UTC-3
World Cup 2014,Matchday 5,,2014-06-16,13:00,Germany,GER,Portugal,POR,,,,,,,,,,Thomas Müller,78,,4,0,,,,,,,,,,Group G,fontenova,Arena Fonte Nova,Salvador,UTC-3
World Cup 2014,Matchday 5,14,2014-06-16,19:00,Ghana,GHA,United States,USA,1,2,null,null,,,,,,André Ayew,82,,1,1,,,Clint Dempsey,1,,0,1,,,Group G,fontenova,Arena Fonte Nova,Salvador,UTC-3
World Cup 2014,Matchday 5,,2014-06-16,19:00,Ghana,GHA,United States,USA,,,,,,,,,,,,,,,,,John Brooks,86,,1,2,,,Group G,fontenova,Arena Fonte Nova,Salvador,UTC-3
World Cup 2014,Matchday 6,15,2014-06-17,13:00,Belgium,BEL,Algeria,ALG,2,1,null,null,,,,,,Marouane Fellaini,70,,1,1,,,Sofiane Feghouli,25,,0,1,True,,Group H,mineirao,Estádio Mineirão,Belo Horizonte,UTC-3
World Cup 2014,Matchday 6,,2014-06-17,13:00,Belgium,BEL,Algeria,ALG,,,,,,,,,,Dries Mertens,80,,2,1,,,,,,,,,,Group H,mineirao,Estádio Mineirão,Belo Horizonte,UTC-3
World Cup 2014,Matchday 6,16,2014-06-17,18:00,Russia,RUS,South Korea,KOR,1,1,null,null,,,,,,Alexander Kerzhakov,74,,1,1,,,Lee Keunho,68,,0,1,,,Group H,pantanal,Arena Pantanal,Cuiabá,UTC-4
World Cup 2014,Matchday 6,17,2014-06-17,16:00,Brazil,BRA,Mexico,MEX,0,0,null,null,,,,,,,,,,,,,,,,,,,,Group A,castelao,Estádio Castelão,Fortaleza,UTC-3
World Cup 2014,Matchday 7,18,2014-06-18,18:00,Cameroon,CMR,Croatia,CRO,0,4,null,null,,,,,,,,,,,,,Ivica Olić,11,,0,1,,,Group A,amazonia,Arena Amazônia,Manaus,UTC-4
World Cup 2014,Matchday 7,,2014-06-18,18:00,Cameroon,CMR,Croatia,CRO,,,,,,,,,,,,,,,,,Ivan Perišić,48,,0,2,,,Group A,amazonia,Arena Amazônia,Manaus,UTC-4
World Cup 2014,Matchday 7,,2014-06-18,18:00,Cameroon,CMR,Croatia,CRO,,,,,,,,,,,,,,,,,Mario Mandžukić,61,,0,3,,,Group A,amazonia,Arena Amazônia,Manaus,UTC-4
World Cup 2014,Matchday 7,,2014-06-18,18:00,Cameroon,CMR,Croatia,CRO,,,,,,,,,,,,,,,,,Mario Mandžukić,73,,0,4,,,Group A,amazonia,Arena Amazônia,Manaus,UTC-4
World Cup 2014,Matchday 7,19,2014-06-18,16:00,Spain,ESP,Chile,CHI,0,2,null,null,,,,,,,,,,,,,Eduardo Vargas,20,,0,1,,,Group B,maracana,Estádio do Maracanã,Rio de Janeiro,UTC-3
