name,rounds__name,rounds__matches__num,rounds__matches__date,rounds__matches__time,rounds__matches__team1__name,rounds__matches__team1__code,rounds__matches__team2__name,rounds__matches__team2__code,rounds__matches__score1,rounds__matches__score2,rounds__matches__score1i,rounds__matches__score2i,rounds__matches__score1et,rounds__matches__score2et,rounds__matches__score1p,rounds__matches__score2p,rounds__matches__knockout,rounds__matches__goals1__name,rounds__matches__goals1__minute,rounds__matches__goals1__offset,rounds__matches__goals1__score1,rounds__matches__goals1__score2,rounds__matches__goals1__owngoal,rounds__matches__goals1__penalty,rounds__matches__goals2__name,rounds__matches__goals2__minute,rounds__matches__goals2__offset,rounds__matches__goals2__score1,rounds__matches__goals2__score2,rounds__matches__goals2__penalty,rounds__matches__goals2__owngoal,rounds__matches__group,rounds__matches__stadium__key,rounds__matches__stadium__name,rounds__matches__city,rounds__matches__timezone
World Cup 2014,Matchday 14,44,2014-06-25,13:00,Bosnia-Herzegovina,BIH,Iran,IRN,,,,,,,,,,Miralem Pjanić,59,,2,0,,,,,,,,,,Group F,fontenova,Arena Fonte Nova,Salvador,UTC-3
World Cup 2014,Matchday 14,44,2014-06-25,13:00,Bosnia-Herzegovina,BIH,Iran,IRN,,,,,,,,,,Avdija Vršajević,83,,3,1,,,,,,,,,,Group F,fontenova,Arena Fonte Nova,Salvador,UTC-3
World Cup 2014,Matchday 15,45,2014-06-26,13:00,United States,USA,Germany,GER,0,1,null,null,,,,,,,,,,,,,Thomas Müller,55,,0,1,,,Group G,pernambuco,Arena Pernambuco,Recife,UTC-3
World Cup 2014,Matchday 15,46,2014-06-26,13:00,Portugal,POR,Ghana,GHA,2,1,null,null,,,,,,John Boye,31,,1,0,True,,Asamoah Gyan,57,,1,1,,,Group G,nacionaldebrasilia,Estádio Nacional (Mané Garrincha),Brasília,UTC-3
World Cup 2014,Matchday 15,46,2014-06-26,13:00,Portugal,POR,Ghana,GHA,,,,,,,,,,Cristiano Ronaldo,80,,2,1,,,,,,,,,,Group G,nacionaldebrasilia,Estádio Nacional (Mané Garrincha),Brasília,UTC-3
World Cup 2014,Matchday 15,47,2014-06-26,17:00,South Korea,KOR,Belgium,BEL,0,1,null,null,,,,,,,,,,,,,Jan Vertonghen,78,,0,1,,,Group H,corinthians,Arena Corinthians,São Paulo,UTC-3
World Cup 2014,Matchday 15,48,2014-06-26,17:00,Algeria,ALG,Russia,RUS,1,1,null,null,,,,,,Islam Slimani,60,,1,1,,,Alexander Kokorin,6,,0,1,,,Group H,dabaixada,Arena da Baixada,Curitiba,UTC-3
World Cup 2014,Round of 16,49,2014-06-28,13:00,Brazil,BRA,Chile,CHI,3,2,null,null,1,1,null,null,True,David Luiz,18,,1,0,,,Alexis Sánchez,32,,1,1,,,Group H,mineirao,Estádio Mineirão,Belo Horizonte,UTC-3
World Cup 2014,Round of 16,50,2014-06-28,17:00,Colombia,COL,Uruguay,URU,2,0,null,null,null,null,null,null,True,James Rodríguez,28,,1,0,,,,,,,,,,Group H,maracana,Estádio do Maracanã,Rio de Janeiro,UTC-3
World Cup 2014,Round of 16,,2014-06-28,17:00,Colombia,COL,Uruguay,URU,,,,,,,,,,James Rodríguez,50,,2,0,,,,,,,,,,Group H,maracana,Estádio do Maracanã,Rio de Janeiro,UTC-3
World Cup 2014,Round of 16,51,2014-06-29,13:00,Netherlands,NED,Mexico,MEX,2,1,null,null,null,null,null,null,True,Wesley Sneijder,88,,1,1,,,Giovani dos Santos,48,,0,1,,,Group H,castelao,Estádio Castelão,Fortaleza,UTC-3
World Cup 2014,Round of 16,,2014-06-29,13:00,Netherlands,NED,Mexico,MEX,,,,,,,,,,Klaas Jan Huntelaar,90,,2,1,,,,,,,,,,Group H,,,,
World Cup 2014,Round of 16,52,2014-06-29,17:00,Costa Rica,CRC,Greece,GRE,5,3,null,null,1,1,null,null,True,Bryan Ruiz,52,,1,0,,,Socratis Papastathopoulos,90,,1,1,,,Group H,pernambuco,Arena Pernambuco,Recife,UTC-3
World Cup 2014,Round of 16,53,2014-06-30,13:00,France,FRA,Nigeria,NGA,2,0,null,null,null,null,null,null,True,Paul Pogba,79,,1,0,,,,,,,,,,Group H,nacionaldebrasilia,Estádio Nacional (Mané Garrincha),Brasília,UTC-3
World Cup 2014,Round of 16,,2014-06-30,13:00,France,FRA,Nigeria,NGA,,,,,,,,,,Joseph Yobo,90,2,2,0,True,,,,,,,,,Group H,,,,
World Cup 2014,Round of 16,54,2014-06-30,17:00,Germany,GER,Algeria,ALG,0,0,null,null,2,1,null,null,True,André Schürrle,92,,1,0,,,Abdelmoumene Djabou,121,,2,1,,,Group H,beirario,Estádio Beira-Rio,Porto Alegre,UTC-3
World Cup 2014,Round of 16,,2014-06-30,17:00,Germany,GER,Algeria,ALG,,,,,,,,,,Mesut Özil,120,,2,0,,,,,,,,,,Group H,,,,
World Cup 2014,Round of 16,55,2014-07-01,13:00,Argentina,ARG,Switzerland,SUI,0,0,null,null,1,0,null,null,True,Ángel di María,118,,1,0,,,,,,,,,,Group H,corinthians,Arena Corinthians,São Paulo,UTC-3
World Cup 2014,Round of 16,56,2014-07-01,17:00,Belgium,BEL,United States,USA,0,0,null,null,2,1,null,null,True,Kevin De Bruyne,93,,1,0,,,Julian Green,107,,2,1,,,Group H,fontenova,Arena Fonte Nova,Salvador,UTC-3
World Cup 2014,Round of 16,,2014-07-01,17:00,Belgium,BEL,United States,USA,,,,,,,,,,Romelu Lukaku,105,,2,0,,,,,,,,,,Group H,,,,
World Cup 2014,Quarter-finals,57,2014-07-04,17:00,Brazil,BRA,Colombia,COL,2,1,null,null,null,null,null,null,True,Thiago Silva,7,,1,0,,,James Rodríguez,80,,2,1,True,,Group H,castelao,Estádio Castelão,Fortaleza,UTC-3
World Cup 2014,Quarter-finals,,2014-07-04,17:00,Brazil,BRA,Colombia,COL,,,,,,,,,,David Luiz,69,,2,0,,,,,,,,,,Group H,,,,
World Cup 2014,Quarter-finals,58,2014-07-04,13:00,France,FRA,Germany,GER,0,1,null,null,null,null,null,null,True,,,,,,,,Mats Hummels,13,,0,1,,,Group H,maracana,Estádio do Maracanã,Rio de Janeiro,UTC-3
World Cup 2014,Quarter-finals,59,2014-07-05,17:00,Netherlands,NED,Costa Rica,CRC,4,3,null,null,0,0,null,null,True,,,,,,,,,,,,,,,Group H,fontenova,Arena Fonte Nova,Salvador,UTC-3
World Cup 2014,Quarter-finals,60,2014-07-05,13:00,Argentina,ARG,Belgium,BEL,1,0,null,null,null,null,null,null,True,Gonzalo Higuaín,8,,1,0,,,,,,,,,,Group H,nacionaldebrasilia,Estádio Nacional (Mané Garrincha),Brasília,UTC-3
World Cup 2014,Semi-finals,61,2014-07-08,17:00,Brazil,BRA,Germany,GER,1,7,null,null,null,null,null,null,True,Oscar,90,,1,7,,,Thomas Müller,11,,0,1,,,Group H,mineirao,Estádio Mineirão,Belo Horizonte,UTC-3
World Cup 2014,Semi-finals,61,2014-07-08,17:00,Brazil,BRA,Germany,GER,,,,,,,,,,,,,,,,,Miroslav Klose,23,,0,2,,,Group H,mineirao,Estádio Mineirão,Belo Horizonte,UTC-3
World Cup 2014,Semi-finals,61,2014-07-08,17:00,Brazil,BRA,Germany,GER,,,,,,,,,,,,,,,,,Toni Kroos,24,,0,3,,,Group H,mineirao,Estádio Mineirão,Belo Horizonte,UTC-3
World Cup 2014,Semi-finals,61,2014-07-08,17:00,Brazil,BRA,Germany,GER,,,,,,,,,,,,,,,,,Toni Kroos,26,,0,4,,,Group H,mineirao,Estádio Mineirão,Belo Horizonte,UTC-3
World Cup 2014,Semi-finals,61,2014-07-08,17:00,Brazil,BRA,Germany,GER,,,,,,,,,,,,,,,,,Sami Khedira,29,,0,5,,,Group H,mineirao,Estádio Mineirão,Belo Horizonte,UTC-3
World Cup 2014,Semi-finals,61,2014-07-08,17:00,Brazil,BRA,Germany,GER,,,,,,,,,,,,,,,,,Andre Schürrle,69,,0,6,,,Group H,mineirao,Estádio Mineirão,Belo Horizonte,UTC-3
World Cup 2014,Semi-finals,61,2014-07-08,17:00,Brazil,BRA,Germany,GER,,,,,,,,,,,,,,,,,Andre Schürrle,79,,0,7,,,Group H,mineirao,Estádio Mineirão,Belo Horizonte,UTC-3
World Cup 2014,Semi-finals,62,2014-07-09,17:00,Netherlands,NED,Argentina,ARG,2,4,null,null,0,0,null,null,True,,,,,,,,,,,,,,,Group H,corinthians,Arena Corinthians,São Paulo,UTC-3
World Cup 2014,Match for third place,63,2014-07-12,17:00,Brazil,BRA,Netherlands,NED,0,3,null,null,null,null,null,null,True,,,,,,,,Robin Van Persie,3,,0,1,True,,Group H,nacionaldebrasilia,Estádio Nacional (Mané Garrincha),Brasília,UTC-3
World Cup 2014,Match for third place,,2014-07-12,17:00,Brazil,BRA,Netherlands,NED,,,,,,,,,,,,,,,,,Daley Blind,17,,0,2,,,Group H,nacionaldebrasilia,Estádio Nacional (Mané Garrincha),Brasília,UTC-3
World Cup 2014,Match for third place,,2014-07-12,17:00,Brazil,BRA,Netherlands,NED,,,,,,,,,,,,,,,,,Georginio Wijnaldum,90,1,0,3,,,Group H,nacionaldebrasilia,Estádio Nacional (Mané Garrincha),Brasília,UTC-3
World Cup 2014,Final,64,2014-07-13,16:00,Germany,GER,Argentina,ARG,0,0,null,null,1,0,null,null,True,Mario Götze,113,,1,0,,,,,,,,,,Group H,maracana,Estádio do Maracanã,Rio de Janeiro,UTC-3
